Party,Party Votes Percentage,Electorate,Election Year
Women's Rights Party,0.08,Upper Harbour,2023
ACT New Zealand,11.93,Whangaparaoa,2023
Animal Justice Party ,0.19,Whangaparaoa,2023
Aotearoa Legalise Cannabis Party,0.28,Whangaparaoa,2023
DemocracyNZ,0.33,Whangaparaoa,2023
Freedoms NZ,0.2,Whangaparaoa,2023
Green Party,7.6,Whangaparaoa,2023
Labour Party,15.27,Whangaparaoa,2023
Leighton Baker Party,0.06,Whangaparaoa,2023
National Party,53.21,Whangaparaoa,2023
New Conservatives,0.14,Whangaparaoa,2023
New Nation Party,0.03,Whangaparaoa,2023
New Zealand First Party,6.26,Whangaparaoa,2023
New Zealand Loyal,1.34,Whangaparaoa,2023
NewZeal,0.98,Whangaparaoa,2023
Te Pati Maori,0.47,Whangaparaoa,2023
The Opportunities Party (TOP),1.63,Whangaparaoa,2023
Women's Rights Party,0.08,Whangaparaoa,2023
